state,year,month,pcp
Alabama,2009,2,3.8
Alabama,2009,3,8.9
Alabama,2009,4,4.4
Alabama,2009,5,8.5
Alabama,2009,6,2.7
Alabama,2009,7,5.5
Alabama,2009,8,5.4
Alabama,2009,9,7.5
Alabama,2009,10,7.1
Alabama,2009,11,4.3
Alabama,2009,12,10.6
Alabama,2010,1,6.2
Alabama,2010,2,4.2
Alabama,2010,3,5
Alabama,2010,4,2.8
Alabama,2010,5,6.1
Alabama,2010,6,3.2
Alabama,2010,7,3.5
Alabama,2010,8,4.8
Alabama,2010,9,1.6
Alabama,2010,10,2.5
Alabama,2010,11,4.7
Alabama,2010,12,2.2
Alabama,2011,1,4
Alabama,2011,2,3.4
Alabama,2011,3,8.1
Alabama,2011,4,5
Alabama,2011,5,1.6
Alabama,2011,6,3.5
Alabama,2011,7,5.5
Alabama,2011,8,2
Alabama,2011,9,7.2
Alabama,2011,10,0.7
Alabama,2011,11,4.1
Alabama,2011,12,5
Alabama,2012,1,5.4
Alabama,2012,2,4.4
Alabama,2012,3,5.3
Alabama,2012,4,1.8
Alabama,2012,5,4.1
Alabama,2012,6,4
Alabama,2012,7,5.7
Alabama,2012,8,6
Alabama,2012,9,5.3
Alabama,2012,10,2.9
Alabama,2012,11,1.3
Alabama,2012,12,6.6
Alabama,2013,1,6.2
Alabama,2013,2,8.8
Alabama,2013,3,3.8
Alabama,2013,4,5.7
Alabama,2013,5,4
Alabama,2013,6,5.8
Alabama,2013,7,8.7
Alabama,2013,8,5.5
Alabama,2013,9,3.2
Alabama,2013,10,1.4
Alabama,2013,11,3.4
Alabama,2013,12,7.9
Alabama,2014,1,2.7
Alabama,2014,2,5.7
Alabama,2014,3,5.5
Alabama,2014,4,9.6
Alabama,2014,5,4.2
Alabama,2014,6,5.2
Alabama,2014,7,3.3
Alabama,2014,8,3.2
Alabama,2014,9,2.5
Alabama,2014,10,4.3
Alabama,2014,11,2.9
Alabama,2014,12,6.3
Alabama,2015,1,4.3
Alabama,2015,2,4
Alabama,2015,3,4.2
Alabama,2015,4,7.1
Alabama,2015,5,4.3
Alabama,2015,6,3.2
Alabama,2015,7,4.7
Alabama,2015,8,4.9
Alabama,2015,9,2.7
Alabama,2015,10,2.9
Alabama,2015,11,6.8
Alabama,2015,12,11.8
Alabama,2016,1,4
Alabama,2016,2,5.8
Alabama,2016,3,5.4
Alabama,2016,4,5.6
Alabama,2016,5,2.1
Alabama,2016,6,3.8
Alabama,2016,7,4.2
Alabama,2016,8,4.5
Alabama,2016,9,1.7
Alabama,2016,10,0.1
Alabama,2016,11,2.3
Alabama,2016,12,5
Alabama,2017,1,8.9
Alabama,2017,2,3.6
Alabama,2017,3,4.1
Alabama,2017,4,4
Alabama,2017,5,6.9
Alabama,2017,6,10.6
Alabama,2017,7,5
