state,year,month,tmin
Alabama,2012,7,70.9
Alabama,2012,8,68.3
Alabama,2012,9,61.9
Alabama,2012,10,50
Alabama,2012,11,37
Alabama,2012,12,40
Alabama,2013,1,40.3
Alabama,2013,2,37.2
Alabama,2013,3,37.2
Alabama,2013,4,50
Alabama,2013,5,56.8
Alabama,2013,6,68.2
Alabama,2013,7,69.2
Alabama,2013,8,68.6
Alabama,2013,9,63.8
Alabama,2013,10,53.5
Alabama,2013,11,40
Alabama,2013,12,37.6
Alabama,2014,1,24.7
Alabama,2014,2,35.9
Alabama,2014,3,39.6
Alabama,2014,4,50.1
Alabama,2014,5,58.2
Alabama,2014,6,67.9
Alabama,2014,7,67.2
Alabama,2014,8,67.9
Alabama,2014,9,65.7
Alabama,2014,10,52
Alabama,2014,11,35.3
Alabama,2014,12,39.8
Alabama,2015,1,32.5
Alabama,2015,2,30
Alabama,2015,3,46.8
Alabama,2015,4,55.5
Alabama,2015,5,60
Alabama,2015,6,68.2
Alabama,2015,7,71.2
Alabama,2015,8,68.2
Alabama,2015,9,63.6
Alabama,2015,10,53.4
Alabama,2015,11,49.1
Alabama,2015,12,47
Alabama,2016,1,32.6
Alabama,2016,2,38.2
Alabama,2016,3,47.9
Alabama,2016,4,51.3
Alabama,2016,5,58.5
Alabama,2016,6,67.5
Alabama,2016,7,71.1
Alabama,2016,8,71.7
Alabama,2016,9,66.3
Alabama,2016,10,53.6
Alabama,2016,11,42.6
Alabama,2016,12,39.6
Alabama,2017,1,41.9
Alabama,2017,2,43.2
Alabama,2017,3,46
Alabama,2017,4,54
Alabama,2017,5,58
Alabama,2017,6,66.7
Alabama,2017,7,70.5
Alabama,2017,8,69.4
Alabama,2017,9,62.3
Alabama,2017,10,54.4
Alabama,2017,11,43.1
Alabama,2017,12,37.1
Alabama,2018,1,28.9
Alabama,2018,2,47.9
Alabama,2018,3,43.2
Alabama,2018,4,46.4
Arizona,1950,5,26.3
Arizona,1950,6,33.2
Arizona,1950,7,35.6
Arizona,1950,8,43.6
Arizona,1950,9,46.6
Arizona,1950,10,55.6
Arizona,1950,11,65.1
Arizona,1950,12,61
Arizona,1950,1,54
Arizona,1950,2,49.5
Arizona,1950,3,36.6
Arizona,1950,4,31.2
Arizona,1951,5,27
Arizona,1951,6,30.9
Arizona,1951,7,34
Arizona,1951,8,42.3
Arizona,1951,9,49.4
Arizona,1951,10,54.3
Arizona,1951,11,66.5
Arizona,1951,12,63.4
Arizona,1951,1,56.3
Arizona,1951,2,46.3
Arizona,1951,3,35.1
Arizona,1951,4,28.8
Arizona,1952,5,29.2
Arizona,1952,6,29.2
Arizona,1952,7,31.6
Arizona,1952,8,42.8
Arizona,1952,9,51.2
Arizona,1952,10,56.8
Arizona,1952,11,63.7
Arizona,1952,12,65.3
Arizona,1952,1,58.3
Arizona,1952,2,47.6
Arizona,1952,3,32.3
Arizona,1952,4,28.3
Arizona,1953,5,31
Arizona,1953,6,28.2
Arizona,1953,7,35.8
Arizona,1953,8,40.9
Arizona,1953,9,44.5
Arizona,1953,10,57
Arizona,1953,11,67.3
Arizona,1953,12,62.8
Arizona,1953,1,55.6
Arizona,1953,2,44.9
Arizona,1953,3,36.4
Arizona,1953,4,24.9
Arizona,1954,5,29
Arizona,1954,6,34
Arizona,1954,7,34.6
Arizona,1954,8,44.8
Arizona,1954,9,51.4
Arizona,1954,10,57
Arizona,1954,11,66.8
Arizona,1954,12,62.5
Arizona,1954,1,58.6
Arizona,1954,2,47.6
Arizona,1954,3,36.8
Arizona,1954,4,28.3
Arizona,1955,5,26
Arizona,1955,6,25.1
Arizona,1955,7,33.8
Arizona,1955,8,38.1
Arizona,1955,9,48
Arizona,1955,10,56.1
Arizona,1955,11,62.6
Arizona,1955,12,64.8
Arizona,1955,1,56
Arizona,1955,2,48.2
Arizona,1955,3,35.1
Arizona,1955,4,32
Arizona,1956,5,32.7
Arizona,1956,6,26.1
Arizona,1956,7,33.5
Arizona,1956,8,40.9
Arizona,1956,9,50.4
Arizona,1956,10,60.7
Arizona,1956,11,64.2
Arizona,1956,12,61
Arizona,1956,1,58.6
Arizona,1956,2,45.1
Arizona,1956,3,30.1
